Gemeinde_Name;E;N;Name;Transportunternehmen_Abkuerzung;Betriebspunkttyp_Bezeichnung;Verkehrsmittel_Bezeichnung;Hšhe
Agno;2713291;1094874;Agno;FLP;Haltestelle;Zug;273
Wimmis;2615654;1170328;Eifeld, Bahnhof;STI;Haltestelle;Bus;627
Sierre;2607301;1127002;Sierre, Le Bourgeois Nord;SMC;Haltestelle;Bus;542
Köniz;2598399;1192443;Oberscherli, Dorf;PAG;Haltestelle;Bus;733
Zernez;2813568;1171541;Stabelchod P8;PAG;Haltestelle;Bus;1887
Grüsch;2769217;1206105;Fanas, Neugaden;PAG;Haltestelle;Bus;871
Schwyz;2692940;1208336;Schwyz, Tschaibrunnen;AAGS;Haltestelle;Bus;526
Bülach;2683024;1263406;Bülach, Pfarrgässli;PAG;Haltestelle;Bus;413
Nyon;2507125;1138624;Nyon, rte de Saint-Cergue;BNP;Haltestelle;Bus;425
Flums;2741850;1217058;Flumserberg, Plattewiese;PAG;Haltestelle;Bus;1160
Davos;2782989;1183280;Usser Isch (Bergstation);DKB;Haltestelle;Sesselbahn;2139
Tujetsch;2703231;1172676;Cuolm da Vi;BBD;Haltestelle;Kabinenbahn;2196
Zweisimmen;2594880;1155850;Zweisimmen, Zentrum;PAG;Haltestelle;Bus;948
San Vittore;2729290;1122062;S. Vittore, Sassello;PAG;Haltestelle;Bus;287
Bissone;2718605;1091177;Bissone, Arco di Campione;SNL;Haltestelle;Bus;293
Rüti (ZH);2707126;1235363;Rüti ZH;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;482
Prez;2565896;1180439;Corserey, Café du Châtaignier;PAG;Haltestelle;Bus;658
Basel;2611363;1266310;Basel SBB;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;277
Lauperswil;2623688;1199800;Emmenmatt, Schüpbachstrasse;BLAG;Haltestelle;Bus;649
Teufen (AR);2749585;1251951;Teufen AR,Steinegg Feuerwehrh.;AB;Haltestelle;Bus;893
Pfäfers;2755905;1204607;Pfäfers, Altes Bad;PAG;Haltestelle;Bus;680
Schwyz;2690985;1207223;Ibach, Diesel;AAGS;Haltestelle;Bus;450
Flawil;2731695;1253007;Flawil, Isnyplatz;PAG;Haltestelle;Bus;612
Büttenhardt;2691325;1291225;Büttenhardt, Reiathöfe;VBSH;Haltestelle;Bus;655
Conthey;2586150;1119988;Aven, pl. St-Bernard;PAG;Haltestelle;Bus;1075
Jorat-Menthue;2546700;1167344;Sottens, croisée;PAG;Haltestelle;Bus;754
Oron;2555953;1158389;Bussigny-sur-Oron, croisée;PAG;Haltestelle;Bus;831
Lully (FR);2553641;1184887;Seiry, village;TPF;Haltestelle;Bus;607
Thusis;2752835;1174979;Roza (B);RhB FR VR;Blockstelle;;680
Fribourg;2578360;1182621;Fribourg, Jardin botanique;TPF;Haltestelle;Bus;630
Tschiertschen-Praden;2763147;1188199;Ausserpraden, Hedwig;PAG;Haltestelle;Bus;1155
Muttenz;2615690;1264416;Muttenz, Kirschgartenstrasse;BLT;Haltestelle;Bus;281
Koblenz;2659293;1272481;Koblenz;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;320
Mendrisio;2721242;1085597;Bellavista;MG;Haltestelle;Zahnradbahn;1221
Crans-Montana;2602856;1125201;Ollon VS, bif. Valençon;SMC;Haltestelle;Bus;807
Les Breuleux;2567189;1228927;Les Breuleux, gare;CJ;Haltestelle;Bus;1020
Biel/Bienne;2586770;1219803;Biel/Bienne, Bärletweg/Chemin de Bärlet;VB TPB;Haltestelle;Bus;449
Adelboden;2608316;1149790;Tschentenalp (Bergst. Weng);TBA;Zugeordneter Betriebspunkt;;1928
Oberrieden;2685947;1237127;Oberrieden, Hubstrasse;SZU;Haltestelle;Bus;455
La Grande-Béroche;2548895;1193863;St-Aubin NE, Les Charrières;PAG;Haltestelle;Bus;508
Gommiswald;2719513;1232953;Gommiswald, Hansjunger;PAG;Haltestelle;Bus;600
Vex;2596985;1118831;Vex, Sindy;PAG;Haltestelle;Bus;845
Boltigen;2593044;1160122;Boltigen, Schüpfen;TPF;Haltestelle;Bus;1455
Verzasca;2709350;1120173;Vogorno, Paese;PAG;Haltestelle;Bus;493
Anwil;2638676;1255329;Kienberg, Kreuz;PAG;Haltestelle;Bus;624
Milvignes;2554880;1202417;Cottendart (embr);SBB CFF FFS;Bedienpunkt;;530
Risch;2674442;1221517;Rotkreuz Nordwest;SBB CFF FFS;Verzweigung, Abzweigung, Spaltweiche;;424
Thun;2614459;1178042;Thun, Klosestrasse;STI;Haltestelle;Bus;554
Sutz-Lattrigen;2582978;1216207;Lattrigen, Bahnhof;PAG;Haltestelle;Bus;455
Tramelan;2572971;1230347;Les Reussilles, Le Saucy;CJ;Haltestelle;Bus;1016
Herrliberg;2689218;1237983;Herrliberg, Harzerstrasse;VZO;Haltestelle;Bus;480
Riviera;2719125;1126955;Prosito, Nord;PAG;Haltestelle;Bus;260
Altdorf (UR);2691874;1195204;Eggberge;LFE;Haltestelle;Kabinenbahn;1446
Bad Ragaz;2754117;1206264;Pardiel;PIZAG;Haltestelle;Kabinenbahn;1606
Dintikon;2659699;1246431;Dintikon, Dorfstrasse;PAG;Haltestelle;Bus;442
Zürich;2678857;1249202;Zürich, Bachmattstrasse;VBZ;Haltestelle;Tram;402
Arosa;2764376;1190075;Calfreisen, Dorf;PAG;Haltestelle;Bus;1243
Fully;2577906;1111591;Grand-Blettay;PAG;Haltestelle;Bus;467
Rovio;2719984;1089128;Rovio, Selvone;PAG;Haltestelle;Bus;528
Saxon;2579785;1111026;Saxon, Rue de Gottefrey;PAG;Haltestelle;Bus;468
Bellevue;2500364;1122923;Les Tuileries, gare;TPG;Haltestelle;Bus;383
Vandoeuvres;2504955;1118489;Vandoeuvres, Cocuaz;TPG;Haltestelle;Bus;425
Bex;2567147;1121854;Bex, L'Allex;TPC;Haltestelle;Bus;423
Bulle;2570157;1162676;Bulle, Espace Gruyère;TPF;Haltestelle;Bus;779
Orny;2530182;1168928;Orny, village;PAG;Haltestelle;Bus;467
Savièse;2592994;1121430;Savièse, Etang de la Tzena;PAG;Haltestelle;Bus;771
Ecublens (VD);2532935;1152962;Ecublens VD, Bassenges;TL;Haltestelle;Metro;398
Opfikon;2684676;1252998;Glattpark, Chavez-Allee;VBG;Haltestelle;Bus;424
Chéserex;2502850;1139550;Chéserex, A l'Oche;TPN;Haltestelle;Bus;520
Martigny;2571054;1104543;Martigny, Pré de Foire;BUM;Haltestelle;Bus;487
