xtf_id,UID,Nummer,Abkuerzung,Name_oeV,Name_HR,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_BearbeitungsDatum,Gueltigkeit_Stand
ch14uvag00248926,,20659,#LEER,Ingroma Immobilien AG,Ingroma Immobilien AG,18000101,,20220331,20220508
ch14uvag00000507,CHE-105.753.107,146,FLP,Ferrovia Lugano - Ponte Tresa,Ferrovie Luganesi SA (FLP),19100324,,20220331,20220508
ch14uvag00001234,CHE-114.457.151,2527,,Zelic Reisen GmbH,Zelic Reisen GmbH,18000101,,20220331,20220508
ch14uvag00220998,,2729,,FlixBus France Sàrl,FlixBus France Sàrl,18000101,,20220331,20220508
ch14uvag00166330,,2706,,Eurotours d.o.o.,Eurotours d.o.o.,18000101,,20220331,20220508
ch14uvag00001203,,2495,,SC Untrr Tours SA,SC Untrr Tours SA,18000101,,20220331,20220508
ch14uvag00001009,,2062,,"Internorte - Transportes Internacionais Rodoviários do Norte, Lda","Internorte - Transportes Internacionais Rodoviários do Norte, Lda",18000101,,20220331,20220508
ch14uvag00107826,,2657,,Coop. L'Aurora s.r.l.,Coop. L'Aurora s.r.l.,18000101,,20220331,20220508
ch14uvag00248927,,20648,#LEER,Kernkraftwerk Gösgen-Däniken A - Däniken,Kernkraftwerk Gösgen-Däniken A - Däniken,18000101,,20220331,20220508
ch14uvag00000615,CHE-114.858.633,692,LGJ,Lutseilbahn Gampel - Jeizinen,Gemeinde Gampel-Bratsch,18000101,,20220331,20220508
ch14uvag00001210,,2502,,Bioexpres,Bioexpres,18000101,,20220331,20220508
ch14uvag00248928,,6009,,Transports en Lauragais sas ,Transports en Lauragais sas ,18000101,,20220331,20220508
ch14uvag00000680,CHE-105.961.634,2832,MVNAG,Migros-Verteilbetrieb Neuendorf AG,Migros-Verteilbetrieb Neuendorf AG,18000101,,20220331,20220508
ch14uvag00000882,CHE-105.865.864,1199,NVRM,Nendaz Veysonnaz Remontées Mécaniques,NV Remontées mécaniques SA ,18000101,,20220331,20220508
ch14uvag00000650,CHE-107.645.463,587,LSH,Luftseilbahn-Genossenschaft Schattdorf-Haldi,Luftseilbahn-Genossenschaft Schattdorf-Haldi,18000101,,20220331,20220508
ch14uvag00001164,,2449,,Werner Ziegelmeister GmbH,Werner Ziegelmeister GmbH,18000101,,20220331,20220508
ch14uvag00248929,,20391,#LEER,Kraftwerke Zervreila AG,Kraftwerke Zervreila AG,18000101,,20220331,20220508
ch14uvag00248930,,20151,#EFLUCKROTH,E. Flückiger AG,E. Flückiger AG,18000101,,20220331,20220508
ch14uvag00224157,,2758,,Ca.Mer Viaggi SNC,Ca.Mer Viaggi SNC,18000101,,20220331,20220508
