name,Lat,Long,Ladentyp,GMDNAME
Hilterfingen,46.7353444,7.6586756,m,Oberhofen am Thunersee
Hinterkappelen ,46.96677,7.3766563,mm,Wohlen bei Bern
Hinwil,47.3003215,8.8446093,m,Hinwil
Hinwil,47.3002442,8.8398702,mig,Hinwil
Hittnau,47.3631688,8.8254402,m,Hittnau
Hitzkirch,47.2222081,8.2518859,m,Hitzkirch
Hochdorf ,47.1660917,8.2913828,mm,Hochdorf
Hombrechtikon,47.2517184,8.7694304,m,Hombrechtikon
Horgen ,47.2601197,8.5970064,mm,Horgen
Horw,47.0189983,8.309017,m,Horw
Hunzenschwil,47.386801,8.1142192,shell,Hunzenschwil
Huttwil,47.1137122,7.8401887,mm,Huttwil
Hägendorf,47.3286815,7.8315137,spez,Hägendorf
Hünibach,46.7451794,7.6454474,m,Hilterfingen
Ibach,47.015464,8.6463388,mgls,Schwyz
Ibach,47.0155468,8.64652,mmm,Schwyz
Ilanz ,46.7745715,9.2075797,mm,Ilanz/Glion
Interlaken,46.6815587,7.8521379,mm,Interlaken
Interlaken,46.6831647,7.852176,mig,Interlaken
Interlaken,46.6884398,7.8767761,mgls,Matten bei Interlaken
Ipsach,47.1156818,7.2353249,m,Ipsach
Ipsach,47.1086124,7.2261597,mgls,Sutz-Lattrigen
Ittigen,46.9742162,7.4852772,mm,Ittigen
Ittigen ,46.9897356,7.4778766,soca,Ittigen
Jona,47.2296039,8.8438587,soca,Rapperswil-Jona
Jona ,47.2314638,8.8373964,m,Rapperswil-Jona
Kaltbrunn,47.2132724,9.0242575,dmp,Kaltbrunn
Kerzers,46.9737039,7.1939798,m,Kerzers
Kirchberg,47.088436,7.5816193,mm,Kirchberg (BE)
Kirchberg,47.4390646,9.0564532,shell,Rickenbach (TG)
Kirchberg,47.4388794,9.0568321,m,Rickenbach (TG)
Kloten,47.4505,8.582302,mm,Kloten
Kollbrunn,47.4578401,8.7707847,m,Zell (ZH)
Konolfingen,46.8764297,7.6211259,mm,Konolfingen
Kreuzlingen,47.6481842,9.1756501,m,Kreuzlingen
Kreuzlingen,47.6398924,9.2005749,mgls,Bottighofen
Kreuzlingen,47.654965,9.1649149,soca,Kreuzlingen
Kreuzlingen ,47.6418058,9.1960063,mm,Bottighofen
Kriens,47.0265464,8.2993812,shell,Horw
Kriens,47.0342359,8.2649154,mgls,Kriens
Kriens ,47.0337928,8.2829724,mm,Kriens
Kriens ,47.0267443,8.30067,m,Horw
Kölliken,47.3298578,8.0302701,mig,Kölliken
Köniz ,46.9235082,7.414453,mm,Köniz
