name,Long ,Lat,Ladentyp
Füllinsdorf - Schönthal,7.7251059,47.502619,mm
Füllinsdorf - Schönthal,7.7249788,47.5011982,fm
Gandria,9.0059322,46.0073342,pica
Gd Saconnex - Le Pommier,6.1198025,46.228951,m
Gebenstorf,8.2443692,47.4900828,m
Gelterkinden,7.8506659,47.4660758,mm
Genestrerio,8.9661279,45.8550221,pica
Genève - Balexert,6.1131166,46.2187665,mmm
Genève - Balexert,6.1129989,46.2189827,mgls
Genève - Champel,6.1524674,46.1909267,mm
Genève - Charmilles,6.1231482,46.2082241,mm
Genève - Cointrin,6.1078241,46.224419,soca
Genève - Cointrin Aéroport,6.1102265,46.2312856,m
Genève - Cornavin Gare,6.1422156,46.2098132,m
Genève - Eaux-Vives,6.1585088,46.2039608,mm
Genève - Fusterie M-Express,6.1461998,46.2039287,m
Genève - Jonction,6.1306224,46.2007896,mm
Genève - Les Cygnes,6.1449087,46.2113723,mm
Genève - Navigation,6.14974,46.212579,mm
Genève - Plainpalais,6.1435018,46.1931467,mm
Genève - Rieu,6.1639476,46.1919217,mm
Genève - Servette,6.132171,46.212326,m
Genève - Tourelle,6.1258169,46.2243865,m
Genève - Vidollet,6.1391683,46.2162367,m
Genève - Villereuse,6.1588299,46.2007706,mm
Genève Montbrillant,6.1404602,46.2198335,shell
Genève O’Vives,6.1669014,46.2012486,mig
Gerlafingen,7.5740858,47.1710372,m
Giubiasco - Alle Bolle,9.0136059,46.178211,m
Givisiez,7.1370774,46.8119849,mgls
Gland,6.2756695,46.4170516,m
Gland,6.2724682,46.4149466,mgls
Glarus,9.0714747,47.0399224,mig
Glarus - Zentrum Glärnisch,9.0708899,47.0406732,mm
Glattbrugg,8.567435,47.4340313,m
Glattbrugg,8.5590956,47.4289402,soca
Glattbrugg,8.5595076,47.4308194,mig
Glis - Simplon,7.9695103,46.3089074,mmm
Goldach,9.4677839,47.474811,m
Goldach - St.Gallerstr.,9.4754725,47.4787605,mgls
Goldau,8.551124,47.05089,m
Gossau,9.2563798,47.4175531,mm
Gossau,9.2530635,47.4119054,mig
Gossau - Stadtbühlpark,9.2504373,47.4119695,m
Gossau - Wilerstrasse,9.2343749,47.4194624,mgls
Gossau Outlet,9.2811214,47.4089206,spez
Gossau ZH,8.7558044,47.3065422,m
Grabs,9.4421965,47.1872693,dmp
Gradelle,6.1812063,46.2054501,m
Grancia,8.9263036,45.9712181,m
Grancia Do it + Garden,8.928254,45.975298,fm
Grand-Lancy - Palettes,6.1223706,46.1749719,mm
Granges - Paccot,7.1489877,46.8289721,m
Granges-Paccot,7.1516595,46.8219444,shell
Granges-Paccot - Centre,7.1539379,46.8209959,mm
Greifensee,8.6796218,47.3678007,m
Grenchen,7.3992644,47.1897743,mm
Grenchen,7.4055558,47.193743,soca
Grenchen Nord,7.3895251,47.1915246,mig
Grenchen Outlet,7.4057556,47.1905949,spez
Gränichen,8.0979932,47.3598479,m
Gstaad,7.2825683,46.4782457,mm
Gümligen,7.5042952,46.93282,m
Hasle Rüegsau,7.6595141,47.0134658,m
Haute-Nendaz,7.2918787,46.182229,m
Hauterive,6.9730279,47.0100802,shell
Heiden,9.5361583,47.4389521,m
Heimberatung Vorhänge,8.6034703,47.4011879,fm
Heimberg,7.609361,46.782963,m
Hergiswil NW,8.311525,46.9845047,m
Herisau - Alpsteinstrasse,9.2788104,47.3787332,m
Herrlisberg,8.6615398,47.2196201,soca
Herzogenbuchsee,7.7037935,47.18653,mm
Hilterfingen,7.6586756,46.7353444,m
Hinterkappelen - Chappelemärit,7.3766563,46.96677,mm
Hinwil,8.8446093,47.3003215,m
Hinwil,8.8398702,47.3002442,mig
Hittnau,8.8254402,47.3631688,m
Hitzkirch,8.2518859,47.2222081,m
Hochdorf - Seetal-Center,8.2913828,47.1660917,mm
Hombrechtikon,8.7694304,47.2517184,m
Horgen - Schinzenhof,8.5970064,47.2601197,mm
Horw,8.309017,47.0189983,m
Hunzenschwil,8.1142192,47.386801,shell
Huttwil,7.8401887,47.1137122,mm
Hägendorf Outlet,7.8315137,47.3286815,spez
Hünibach,7.6454474,46.7451794,m
Ibach,8.6463388,47.015464,mgls
Ibach-Schwyz - Mythen-Center,8.64652,47.0155468,mmm
Ilanz - Center Marcau,9.2075797,46.7745715,mm
Interlaken,7.8521379,46.6815587,mm
Interlaken,7.852176,46.6831647,mig
Interlaken Lindenalle,7.8767761,46.6884398,mgls
Ipsach,7.2353249,47.1156818,m
Ipsach,7.2261597,47.1086124,mgls
Ittigen,7.4852772,46.9742162,mm
Ittigen - Grauholz,7.4778766,46.9897356,soca
Jona,8.8438587,47.2296039,soca
Jona - Stadttor,8.8373964,47.2314638,m
Kaltbrunn,9.0242575,47.2132724,dmp
Kerzers,7.1939798,46.9737039,m
Kirchberg,7.5816193,47.088436,mm
Kirchberg,9.0564532,47.4390646,shell
Kirchberg-Stelz,9.0568321,47.4388794,m
