Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode
Sedrun,46.67886146,8.77109959,08:00 - 12:15 13:30 - 18:30,Coop Supermarkt Sedrun,7188
Bonaduz,46.81197789,9.4012803,08:00 - 20:00,Coop Supermarkt Bonaduz,7402
Unterkulm,47.31193315,8.11436308,07:30 - 20:00,Coop Supermarkt Unterkulm,5726
Schöftland,47.30858932,8.05113268,07:30 - 20:00,Coop Supermarkt Schöftland,5040
Buchs,47.38972605,8.07025039,07:30 - 20:00,Coop Supermarkt Buchs AG,5033
Dottikon,47.38165454,8.23904269,07:30 - 19:00,Coop Supermarkt Dottikon,5605
Untersiggenthal,47.50197063,8.25512259,08:00 - 19:00,Coop Supermarkt Untersiggenthal,5417
Bättwil,47.48923746,7.50039612,07:30 - 18:30,Coop Supermarkt Bättwil-Flüh,4112
Reinach,47.49376507,7.59332077,08:00 - 20:00,Coop Supermarkt Reinach BL,4153
Basel,47.54655761,7.56511326,07:30 - 20:00,Coop Supermarkt Basel Neuweilerplatz,4054
Ettingen,47.4824681,7.54573671,08:00 - 19:00,Coop Supermarkt Ettingen,4107
Magden,47.52598469,7.81555051,07:30 - 19:00,Coop Supermarkt Magden,4312
Agno,45.99732697,8.90261699,08:00 - 19:00,Coop Supermercato Agno,6982
Faido,46.47786438,8.79902766,08:00 - 19:00,Coop Supermercato Faido,6760
Ascona,46.15564658,8.77147382,08:00 - 19:00,Coop Supermercato Ascona,6612
Pregassona,46.01995659,8.96942482,08:00 - 19:00,Coop Supermercato Lugano Pregassona,6963
Giubiasco,46.1737529,9.01036079,08:00 - 19:00,Coop Supermercato Giubiasco,6512
Losone,46.16727779,8.76247376,08:00 - 19:00,Coop Supermercato Losone Mezzana,6616
Airolo,46.52871585,8.61077216,08:00 - 19:00,Coop Supermercato Airolo,6780
Biglen,46.92475993,7.628254,08:00 - 19:00,Coop Supermarkt Biglen,3507
Düdingen,46.8501654,7.19082595,07:00 - 19:00,Coop Supermarkt Düdingen,3186
Bern,46.9377463,7.47644332,07:00 - 19:00,Coop Supermarkt Bern Egghölzli,3015
Flamatt,46.88970361,7.31408854,07:00 - 19:00,Coop Supermarkt Flamatt,3175
Bettlach,47.20042568,7.4246169,07:00 - 18:30,Coop Supermarkt Bettlach,2544
Konolfingen,46.88123838,7.62400766,08:00 - 19:00,Coop Supermarkt Konolfingen,3510
Bern,46.94836686,7.44337542,07:00 - 19:00,Coop Supermarkt Bern Spitalgasse,3011
Niederwangen,46.92525079,7.37802664,07:00 - 19:00,Coop Supermarkt Niederwangen,3172
Hasle-Rüegsau,47.01795625,7.660413,07:30 - 19:00,Coop Supermarkt Hasle Rüegsau,3415
Sumiswald,47.02937741,7.74412922,07:30 - 19:00,Coop Supermarkt Sumiswald,3454
Murten,46.9267689,7.11502549,07:00 - 20:00,Coop Supermarkt Murten Stedtli,3280
Le Locle,47.05711033,6.7472501,07:30 - 19:00,Coop Supermarché Le Locle,2400
Neuchâtel,46.990574,6.92967283,07:30 - 19:00,Coop Supermarché Neuchâtel La Treille,2000
Boudry,46.94988147,6.83761941,07:30 - 19:00,Coop Supermarché Boudry,2017
Tramelan,47.22353597,7.09919061,07:30 - 19:00,Coop Supermarché Tramelan,2720
Wattenwil,46.76923931,7.50916043,07:30 - 18:30,Coop Supermarkt Wattenwil,3665
Adelboden,46.49333907,7.56070773,08:00 - 18:30,Coop Supermarkt Adelboden,3715
Lenk,46.45625245,7.44233346,08:00 - 18:30,Coop Supermarkt Lenk,3775
Zürich,47.37582134,8.51707394,07:00 - 22:00,Coop Supermarkt Zürich Lochergut,8004
Zürich,47.41887026,8.50560779,08:00 - 20:00,Coop Supermarkt Zürich Wehntalerstrasse,8046
Glattbrugg,47.43426957,8.56716254,07:00 - 20:00,Coop Supermarkt Glattbrugg,8152
Zürich,47.37344718,8.53041304,07:00 - 21:00,Coop Supermarkt Zürich Stauffacher,8004
Zürich,47.36016255,8.5949426,07:30 - 20:00,Coop Supermarkt Zürich Witikonerstrasse,8053
Zürich,47.41125225,8.54474408,06:00 - 22:00,Coop Supermarkt Zürich Hofwiesenstrasse,8050
Uster,47.35158903,8.71621428,06:00 - 22:00,Coop Supermarkt Uster Bahnhof,8610
Effretikon,47.42838434,8.6847728,07:30 - 19:00,Coop Supermarkt Effretikon Effimärt,8307
Horgen,47.24531821,8.60836156,07:30 - 20:00,Coop Supermarkt Horgen Waldegg,8810
Wangen bei Olten,47.3433862,7.87108314,07:30 - 18:30,Coop Supermarkt Wangen bei Olten,4612
Utzenstorf,47.13169072,7.5567832,08:00 - 19:00,Coop Supermarkt Utzenstorf,3427
Kölliken,47.33409038,8.02496363,07:30 - 20:00,Coop Supermarkt Kölliken,5742
Langendorf,47.22009083,7.51509935,07:30 - 18:30,Coop Supermarkt Langendorf,4513
Reiden,47.24810328,7.97062626,07:30 - 19:00,Coop Supermarkt Reiden,6260
Roggwil,47.24209432,7.82126245,07:00 - 19:00,Coop Supermarkt Roggwil,4914
Rothrist,47.30598321,7.88851375,07:30 - 20:00,Coop Supermarkt Rothrist,4852
Anzère,46.29649144,7.39656327,08:00 - 18:30,Coop Supermarché Anzère,1972
Marly,46.78014859,7.15033197,07:30 - 19:00,Coop Supermarché Marly,1723
Bulle,46.6193852,7.05737339,07:30 - 19:00,Coop Supermarché Bulle Ville,1630
Estavayer-Le-Lac,46.84596723,6.84323963,07:30 - 19:00,Coop Supermarché Estavayer-Le-Lac,1470
Genève,46.22495722,6.13137369,08:00 - 19:00,Coop Supermarché Genève de Budé,1202
Genève,46.21197546,6.14941516,07:30 - 19:00,Coop Supermarché Genève Pâquis,1201
Vernier,46.21457807,6.08285196,08:00 - 19:00,Coop Supermarché Vernier,1214
Prilly,46.52463356,6.60257706,07:00 - 19:00,Coop Supermarché Prilly Malley,1008
Leysin,46.34255921,7.01128739,08:00 - 19:00,Coop Supermarché Leysin,1854
Luzern,47.05115508,8.29995726,07:00 - 19:00,Coop Supermarkt Luzern Kasernenplatz,6003
Emmenbrücke,47.08095221,8.27139901,07:30 - 19:00,Coop Supermarkt Emmenbrücke Sprengi,6020
Engelberg,46.82087346,8.40440481,07:30 - 20:00,Coop Supermarkt Engelberg,6390
Beromünster,47.20805594,8.19050758,07:30 - 19:00,Coop Supermarkt Beromünster,6215
Baar,47.19591195,8.52975733,07:30 - 19:00,Coop Supermarkt Baar Oberdorf,6340
Thayngen,47.74630535,8.70606469,07:30 - 19:00,Coop Supermarkt Thayngen,8240
Beringen,47.69619746,8.57575607,07:30 - 20:00,Coop Supermarkt Beringen,8222
Diessenhofen,47.68712194,8.75385292,07:30 - 19:00,Coop Supermarkt Diessenhofen,8253
