Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode,Match,Gemeinde nach LONGLAT,Unnamed: 8,GMDNAME
Zürich,47.4048558,8.57175939,06:30 - 21:00,Coop Supermarkt Zürich Schwamendingen,8051,2134.0,,,Wallisellen
Zürich,47.370503,8.4919941,07:30 - 20:00,Coop Supermarkt Zürich Triemli,8047,2134.0,,,Wettswil am Albis
Zürich,47.35810529,8.55446969,07:00 - 22:00,Coop Supermarkt Zürich Seefeld,8008,2134.0,,,Zürich
Zürich,47.37769327,8.51117918,07:00 - 22:00,Coop Supermarkt Zürich Albisriederplatz,8003,2134.0,,,Zürich
Zürich,47.35807052,8.52320123,09:00 - 21:00,Coop Supermarkt Zürich Sihlcity Supermarkt,8045,2134.0,,,Zürich
Zürich,47.37589051,8.48710841,08:00 - 20:00,Coop Supermarkt Zürich A-Park,8047,2134.0,,,Uitikon
Zürich,47.3912338,8.50795501,06:30 - 21:00,Coop Supermarkt Zürich Hard Turm Park,8005,2134.0,,,Zürich
Zürich,47.37369999,8.50237262,07:30 - 20:00,Coop Supermarkt Zürich Gutstrasse,8047,2134.0,,,Zürich
Zürich,47.42548073,8.49689962,08:00 - 20:00,Coop Supermarkt Zürich Mühlackerstrasse,8046,2134.0,,,Regensdorf
Zürich,47.3780996,8.53495795,06:30 - 21:00,Coop Supermarkt Zürich Europaallee Passage,8001,2134.0,,,Zürich
Zürich,47.40352301,8.58920665,07:30 - 20:00,Coop Supermarkt Zürich Hirzenbachstrasse,8051,2134.0,,,Wallisellen
Zürich,47.40838721,8.50796829,07:00 - 20:00,Coop Supermarkt Zürich ETH Hönggerberg,8049,2134.0,,,Oberengstringen
Zürich,47.3876004,8.48529942,07:00 - 21:00,Coop Supermarkt Zürich Lindenplatz,8048,2134.0,,,Oberengstringen
Zürich,47.40641525,8.48162814,06:30 - 21:00,Coop Supermarkt Zürich Bombach,8049,2134.0,,,Oberengstringen
Zürich,47.39216294,8.49002524,06:00 - 22:00,Coop Supermarkt Zürich Westlink,8048,2134.0,,,Oberengstringen
Zürich,47.34712872,8.53311665,07:00 - 21:00,Coop Supermarkt Zürich Wollishofen Seestr.,8038,2134.0,,,Zürich
Zürich,47.37009951,8.51428351,07:30 - 20:00,Coop Supermarkt Zürich Zentrum Friesenberg,8045,2134.0,,,Zürich
Zürich,47.37777888,8.54030136,06:00 - 22:00,Coop Supermarkt Zürich ShopVille HB,8021,2134.0,,,Zürich
Zürich,47.36777486,8.53572531,07:00 - 20:00,Coop Supermarkt Zürich Bleicherweg,8002,2134.0,,,Zürich
Zürich,47.38585248,8.51690623,06:00 - 20:00,Coop Supermarkt Zürich Maagplatz,8005,2134.0,,,Zürich
Zürich,47.38401936,8.54804585,07:30 - 21:00,Coop Supermarkt Zürich Rigiplatz,8006,2134.0,,,Zürich
Zürich,47.38048089,8.53426534,07:00 - 21:00,Coop Supermarkt Zürich Zollstrasse,8005,2134.0,,,Zürich
Zürich,47.36308638,8.55004626,07:00 - 21:00,Coop Supermarkt Zürich Brotgasse,8008,2134.0,,,Zürich
Zürich,47.390513,8.51775561,07:00 - 20:00,Coop Supermarkt Zürich Puls 5,8005,2134.0,,,Zürich
Zürich,47.38744666,8.51668685,07:00 - 21:00,Coop Supermarkt Pfingstweidstrasse Prime 2,8005,2134.0,,,Zürich
Zürich,47.36442878,8.53096968,05:30 - 22:00,Coop Supermarkt Zürich Enge Bahnhof,8002,2134.0,,,Zürich
Zürich,47.41254952,8.5464142,06:30 - 20:00,Coop Supermarkt Zürich Andreasturm,8050,2134.0,,,Opfikon
Zürich,47.39329024,8.48474897,07:00 - 21:00,Coop Supermarkt Zürich Vulkanstrasse,8048,2134.0,,,Oberengstringen
Zürich Airport Shopping,47.45072066,8.56263163,06:00 - 23:00,Coop Supermarkt Zürich Airport Shopping,8060,,,,Kloten
Zuzwil,47.47316899,9.11255345,08:00 - 19:00,Coop Supermarkt Zuzwil Herbergmarkt,9524,,,,Zuzwil (SG)
Zweisimmen,46.55588701,7.37352637,08:00 - 19:00,Coop Supermarkt Zweisimmen,3770,2139.0,,,Zweisimmen
