Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode,Match,Gemeinde nach LONGLAT,Unnamed: 8,GMDNAME
Dielsdorf,47.48437198,8.46580185,08:00 - 20:00,Coop Supermarkt Dielsdorf,8157,487.0,,,Dielsdorf
Diepoldsau,47.38947227,9.64904435,07:00 - 19:00,Coop Supermarkt Diepoldsau,9444,491.0,,,Diepoldsau
Diessenhofen,47.68712194,8.75385292,07:30 - 19:00,Coop Supermarkt Diessenhofen,8253,494.0,,,Diessenhofen
Dietikon,47.40374689,8.40259925,07:00 - 21:00,Coop Supermarkt Dietikon Florastrasse,8953,495.0,,,Dietikon
Dietikon,47.39813132,8.41787807,08:00 - 20:00,Coop Supermarkt Dietikon Brunau,8953,495.0,,,Urdorf
Dietikon,47.41830613,8.39219442,08:00 - 21:00,Coop Supermarkt Dietikon Silbern,8953,495.0,,,Oetwil an der Limmat
Dietikon,47.40582104,8.39220945,07:00 - 20:00,Coop Supermarkt Dietikon Steinmürlistrasse,8953,495.0,,,Dietikon
Dietlikon,47.42192683,8.61866999,07:30 - 20:00,Coop Supermarkt Dietlikon Bahnhofstrasse,8305,496.0,,,Dietlikon
Dietlikon,47.41277022,8.61862594,09:00 - 21:00,Coop Supermarkt Dietlikon Center,8305,496.0,,,Dietlikon
Disentis,46.70017706,8.84215112,08:00 - 19:00,Coop Supermarkt Disentis,7180,,,,Disentis/Mustér
Domat-Ems,46.83696591,9.45249253,08:00 - 20:00,Coop Supermarkt Domat-Ems,7013,,,,Domat/Ems
Dongio,46.43957407,8.95296641,08:00 - 12:00 14:00 - 19:00,Coop Supermercato Dongio,6715,,,,Acquarossa
Dornach,47.48867079,7.60879114,08:00 - 18:30,Coop Supermarkt Dornach,4143,511.0,,,Dornach
Dottikon,47.38165454,8.23904269,07:30 - 19:00,Coop Supermarkt Dottikon,5605,512.0,,,Dottikon
Dübendorf,47.39732811,8.61661453,07:30 - 20:00,Coop Supermarkt Dübendorf Center,8600,517.0,,,Dübendorf
Düdingen,46.8501654,7.19082595,07:00 - 19:00,Coop Supermarkt Düdingen,3186,518.0,,,Düdingen
Dulliken,47.35372306,7.94571089,07:30 - 18:30,Coop Supermarkt Dulliken,4657,521.0,,,Dulliken
Ebikon,47.08263976,8.34321058,07:30 - 19:00,Coop Supermarkt Ebikon,6030,526.0,,,Ebikon
