Gemeinde,lat,long,name
 St. Gallen,47.4216995,9.3717318,Denner Filiale
 Reinach BL,47.5022545,7.5964313,Denner Filiale
 Appenzell,47.332715,9.414436,Denner Satellit
 Nidau,47.1297684,7.2405472,Denner Express
 Rupperswil,47.4027634,8.1275864,Denner Partner
 Langendorf,47.21866,7.51311,Denner Filiale
 Riazzino,46.1754532,8.8872356,Denner Filiale
 Uzwil,47.4371599,9.13319,Denner Filiale
 La Chaux-de-Fonds,47.0991859,6.826045,Denner Filiale
 Reute AR,47.419664,9.575657,Denner Satellit
 Bern,46.94358,7.40651,Denner Filiale
 Basel,47.5564003,7.5728359,Denner Express
 Bremgarten,46.9748917,7.4373045,Denner Filiale
 Basel,47.5400887,7.5984688,Denner Filiale
 Martigny,46.1019745,7.072361,Denner Filiale
 Wallisellen,47.4143715,8.5909929,Denner Filiale
 Dietikon,47.4055836,8.4024344,Denner Filiale
 Schaan,47.167018,9.508667,Denner Satellit
 Pampigny,46.5801659,6.4280295,Denner Satellit
 Conthey,46.2226334,7.2992821,Denner Filiale
 Savosa,46.0173378,8.9408302,Denner Filiale
 Langnau i. E.,46.9391747,7.787189,Denner Express
 Opfikon,47.428349,8.574196,Denner Partner
 Bulle,46.621132,7.060373,Denner Filiale
 Rorschach,47.478258,9.481892,Denner Filiale
 Martigny,46.10674,7.08576,Denner Filiale
 Brunnen,46.9999161,8.6089859,Denner Filiale
 Losone,46.1652946,8.772603,Denner Filiale
 Ostermundigen,46.9584656,7.4913416,Denner Filiale
 Emmenbrücke,47.0776901,8.2749586,Denner Filiale
 Clarens,46.4414482,6.8942809,Denner Filiale
 Emmenbrücke,47.0707855,8.2841597,Denner Filiale
 Reigoldswil,47.3973083,7.6913891,Denner Partner
 Schaffhausen,47.7202721,8.6639729,Denner Filiale
 Melide,45.9544449,8.9496717,Denner Satellit
 Bad Zurzach,47.588356,8.2933178,Denner Filiale
 Riehen,47.5713577,7.6312418,Denner Express
 Basel,47.5666313,7.590323,Denner Filiale
 Grand-Saconnex PAL,46.23469,6.12398,Denner Filiale
 Affoltern am Albis,47.2771149,8.4549284,Denner Filiale
 Köniz,46.92313,7.41403,Denner Filiale
 Horn,47.4981012,9.452398,Denner Partner
 Wattwil,47.3007942,9.0911677,Denner Filiale
 Bern,46.9393349,7.4811845,Denner Filiale
 Bern,46.9580078,7.4443865,Denner Filiale
 Eschenbach SG,47.24038,8.92302,Denner Partner
 Genève,46.215168,6.1343894,Denner Filiale
 Beckenried,46.97021,8.46601,Denner Partner
 Niederbipp,47.269482,7.687157,Denner Partner
 Bouveret,46.3843363,6.8534783,Denner Satellit
 Berg TG,47.5814899,9.1687778,Denner Satellit
 Marly,46.77606,7.16117,Denner Express
 Zürich,47.3832207,8.5309191,Denner Express
 Viganello,46.0115585,8.9665518,Denner Filiale
 Wabern,46.92252,7.4598,Denner Filiale
 Wauwil,47.1851311,8.0201826,Denner Partner
 Amriswil,47.54674,9.29799,Denner Filiale
 Laupersdorf,47.31372,7.65113,Denner Express
 Carouge GE,46.1867905,6.1383858,Denner Filiale
 Bulle,46.623558,7.0574269,Denner Filiale
 Bellach,47.2110825,7.5023179,Denner Filiale
 Renens VD,46.5385361,6.580883,Denner Filiale
 Aadorf,47.4902344,8.8995867,Denner Satellit
 Rothenburg,47.0989178,8.2697882,Denner Filiale
 Montreux,46.4316978,6.9097185,Denner Filiale
 Glarus,47.04114,9.070648,Denner Filiale
 Frutigen,46.5863147,7.6473548,Denner Filiale
 Aarburg,47.3323326,7.9055176,Denner Filiale
 Lausanne,46.5436076,6.6472566,Denner Satellit
 Zermatt,46.0254503,7.7492958,Denner Partner
 Lommis,47.5177002,8.9942999,Denner Express
 Aubonne,46.4877243,6.4008408,Denner Partner
 Marin,47.0122199,7.00879,Denner Filiale
 Eglisau,47.57914,8.51391,Denner Filiale
 Egg b. Zürich,47.30266,8.6906,Denner Filiale
 Saas Grund,46.1235657,7.9369001,Denner Satellit
 Frauenfeld,47.5526199,8.8841486,Denner Filiale
 Yverdon-les-Bains,46.7831573,6.6348796,Denner Filiale
 Langenthal,47.2141457,7.7840939,Denner Filiale
 Freienbach,47.20359,8.76604,Denner Filiale
 Wasen im Emmental,47.0435791,7.7972093,Denner Satellit
 Vevey,46.46452,6.84188,Denner Filiale
 Holderbank AG,47.42793,8.16887,Denner Partner
 Nyon,46.3835487,6.2361665,Denner Filiale
 Strengelbach,47.27757,7.92768,Denner Satellit
 Ecublens VD,46.52288,6.5640392,Denner Express
 Fribourg,46.7998085,7.1522465,Denner Filiale
