xtf_id,Nummer,Bezeichnung,BetrieblicheBezeichnung,Laenge,Kantenhoehe,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_Stand,rHaltestelle,E,N,H
ch14uvag00239000,ch:1:sloid:91688::1,,1,,,20210201,,20220508,ch14uvag00052459,2667294.42432,1212321.78472,496.4
ch14uvag00226546,ch:1:sloid:88550:0:2,,2,,,20190101,,20220508,ch14uvag00041719,2600226.435,1202941.412,508.8
ch14uvag00227124,ch:1:sloid:75978::50,,50,,,20220207,,20220508,ch14uvag00062116,2697844,1244539,477
ch14uvag00230397,ch:1:sloid:75961::51,,51,,,20220207,,20220508,ch14uvag00054157,2696907,1239770,450.7
ch14uvag00227842,ch:1:sloid:90201::51,,51,,,20220207,,20220508,ch14uvag00040528,2671799,1249355,468.5
ch14uvag00225695,ch:1:sloid:87948::80,,80,,,20210720,,20220508,ch14uvag00059935,2697377,1233588,463.2
ch14uvag00238551,ch:1:sloid:73022::6,,6,,,20210201,,20220508,ch14uvag00052482,2665706.34739,1211130.27204,437.6
ch14uvag00247395,ch:1:sloid:93428:0:1,A,1,,,20220301,,20220508,ch14uvag00057633,2675501,1222456,430
ch14uvag00227048,ch:1:sloid:96100::51,,51,,,20220207,,20220508,ch14uvag00220366,2688378,1255522,446.5
ch14uvag00241124,ch:1:sloid:93318:0:01,,1,,,20210401,,20220508,ch14uvag00041032,2587888,1221607,454.8
ch14uvag00248237,ch:1:sloid:74223:0:848439,,7422301,25.00,22.00,20220301,,20220508,ch14uvag00060112,2745593,1254083,671
ch14uvag00248241,ch:1:sloid:88965:0:670279,,8896501,20.00,3.00,20220301,,20220508,ch14uvag00038452,2742170,1254063,654
ch14uvag00248238,ch:1:sloid:74223:0:329403,,7422302,25.00,22.00,20220301,,20220508,ch14uvag00060112,2745503,1254014,672
ch14uvag00248240,ch:1:sloid:88889:0:490538,,8888902,20.00,16.00,20220301,,20220508,ch14uvag00038451,2741695,1253995,645
ch14uvag00248239,ch:1:sloid:88889:0:70581,,8888901,20.00,16.00,20220301,,20220508,ch14uvag00038451,2741685,1253998,645
ch14uvag00248242,ch:1:sloid:88962:0:361621,,8896202,15.00,8.00,20220301,,20220508,ch14uvag00038455,2742072,1254262,652
ch14uvag00234736,ch:1:sloid:76123::51,,51,,,20220207,,20220508,ch14uvag00058269,2693894,1227308,640.2
ch14uvag00225853,ch:1:sloid:76221::50,,50,,,20220207,,20220508,ch14uvag00050151,2687462,1241044,517
ch14uvag00235013,ch:1:sloid:91118::10,,10,,,20220207,,20220508,ch14uvag00065049,2681107,1252188,462.7
ch14uvag00234509,ch:1:sloid:91130::21,,21,,,20220207,,20220508,ch14uvag00065065,2677920,1249595,424.7
ch14uvag00241557,ch:1:sloid:92464:0:01,,1,,,20210401,,20220508,ch14uvag00041061,2583175,1219780,438.5
ch14uvag00226714,ch:1:sloid:87935::50,,50,,,20220207,,20220508,ch14uvag00045916,2712662,1244797,710.8
ch14uvag00243222,ch:1:sloid:91178::85,,85,,,20210720,,20220508,ch14uvag00065117,2680411,1249857,400.2
ch14uvag00235187,ch:1:sloid:91101::12,,12,,,20220207,,20220508,ch14uvag00065031,2682645,1250296,471.7
ch14uvag00237190,ch:1:sloid:77155::3,,3,,,20210201,,20220508,ch14uvag00044725,2667730.00624,1214051.95833,451.1
ch14uvag00226163,ch:1:sloid:76230::50,,50,,,20220207,,20220508,ch14uvag00063719,2701780,1264260,469.6
ch14uvag00248249,ch:1:sloid:94989:0:403481,,9498901,25.00,22.00,20220301,,20220508,ch14uvag00059968,2743384,1252496,676
ch14uvag00248246,ch:1:sloid:89596:0:184760,,8959602,25.00,18.00,20220301,,20220508,ch14uvag00060053,2743567,1253316,635
ch14uvag00243701,ch:1:sloid:94223::422702,,1,,,20211212,,20220508,ch14uvag00052228,2716493,1095999,348.2
